"symbol","code","name","date"
"sh688227","688227","品高股份","20250324" 
"sh688228","688228","开普云","20250324"   
"sh688229","688229","博睿数据","20250324" 
"sh688230","688230","芯导科技","20250324" 
"sh688231","688231","隆达股份","20250324" 
"sh688232","688232","新点软件","20250324" 
"sh688233","688233","神工股份","20250324" 
"sh688234","688234","天岳先进","20250324" 
"sh688235","688235","百济神州","20250324" 
"sh688236","688236","春立医疗","20250324" 
"sh688237","688237","超卓航科","20250324" 
"sh688238","688238","和元生物","20250324" 
"sh688239","688239","航宇科技","20250324" 
"sh688244","688244","永信至诚","20250324" 
"sh688246","688246","嘉和美康","20250324" 
"sh688247","688247","宣泰医药","20250324" 
"sh688248","688248","南网科技","20250324" 
"sh688249","688249","晶合集成","20250324" 
"sh688251","688251","井松智能","20250324" 
"sh688252","688252","天德钰","20250324"   
"sh688253","688253","英诺特","20250324"   
"sh688255","688255","凯尔达","20250324"   
"sh688256","688256","寒武纪","20250324"   
"sh688257","688257","新锐股份","20250324" 
"sh688258","688258","卓易信息","20250324" 
"sh688259","688259","创耀科技","20250324" 
"sh688260","688260","昀冢科技","20250324" 
"sh688261","688261","东微半导","20250324" 
"sh688262","688262","国芯科技","20250324" 
"sh688265","688265","南模生物","20250324" 
"sh688266","688266","泽璟制药","20250324" 
"sh688267","688267","中触媒","20250324"   
"sh688268","688268","华特气体","20250324" 
"sh688269","688269","凯立新材","20250324" 
"sh688270","688270","臻镭科技","20250324" 
"sh688271","688271","联影医疗","20250324" 
"sh688272","688272","富吉瑞","20250324"   
"sh688273","688273","麦澜德","20250324"   
"sh688275","688275","万润新能","20250324" 
"sh688276","688276","百克生物","20250324" 
"sh688277","688277","天智航","20250324"   
"sh688278","688278","特宝生物","20250324" 
"sh688279","688279","峰岹科技","20250324" 
"sh688280","688280","精进电动","20250324" 
"sh688281","688281","华秦科技","20250324" 
"sh688282","688282","*ST导航","20250324"  
"sh688283","688283","坤恒顺维","20250324" 
"sh688285","688285","高铁电气","20250324" 
"sh688286","688286","敏芯股份","20250324" 
"sh688287","688287","ST观典","20250324"   
"sh688288","688288","鸿泉物联","20250324" 
"sh688289","688289","圣湘生物","20250324" 
"sh688290","688290","景业智能","20250324" 
"sh688291","688291","金橙子","20250324"   
"sh688292","688292","浩瀚深度","20250324" 
"sh688293","688293","奥浦迈","20250324"   
"sh688295","688295","中复神鹰","20250324" 
"sh688296","688296","和达科技","20250324" 
"sh688297","688297","中无人机","20250324" 
"sh688298","688298","东方生物","20250324" 
"sh688299","688299","长阳科技","20250324" 
"sh688300","688300","联瑞新材","20250324" 
"sh688301","688301","奕瑞科技","20250324" 
"sh688302","688302","海创药业","20250324" 
"sh688303","688303","大全能源","20250324" 
"sh688305","688305","科德数控","20250324" 
